CellNumber,GrowthRate,BirthLength,LifeHistory
1,0.239120910931084,36,6
2,0.11488308234461,36,5
3,0.132475104378638,33,6
4,0.11770321035455,38,7
5,0.118891647979577,56,4
6,NaN,74,1
7,0.123119121274449,44,5
8,0.111327754163841,41,5
9,0.125764743713823,48,4
10,0.138629436111989,43,6
11,NaN,70,1
12,0.116072171252754,65,2
13,0.110958034395305,37,7
14,0.099064287446005,39,6
15,0.0984952970195589,44,6
16,0.0979644441503532,40,7
17,0.0466346489946186,36,13
18,0.103243294480173,37,6
19,0.085488802965388,45,6
20,0.064217871128885,37,8
21,0.0855715516216583,49,5
22,0.0736875950395756,40,8
23,0.0875017097929912,42,7
24,0.0816710575637626,44,5
25,0.0775387320759598,44,5
26,0.0220860162373081,40,12
27,0.220797695861953,43,5
28,0.0853111247124003,48,4
29,0.0940007258491472,35,6
30,0.0718748001815795,37,6
31,0.0855732822826047,41,4
32,0.0928908891081207,40,5
33,0.0927145477830891,39,6
34,0.0753364179596002,36,8
35,0.105371277590111,33,8
36,0.0850814514843008,37,5
37,0.0788812840744876,38,7
38,0.0736387920465066,36,7
39,0.095297720592613,35,7
40,0.100128976738155,34,7
41,NaN,38,1
42,0.0779449060077104,41,5
43,0.0939892415133231,33,7
44,0.100128976738155,34,7
45,0.0540672212702757,36,2
46,0.109344600482415,45,3
47,0.0778929533523447,42,6
48,0.0725810987378737,32,6
49,0.0979096450637412,38,6
50,0.0587098977693502,34,5
51,0.0637230624071975,31,5
52,0.103926541343614,41,4
53,0.0924367563765214,38,5
54,0.118226597225924,43,5
55,NaN,68,1
56,0.0850814514843008,37,5
57,0.0683233337499204,35,5
58,0.118891647979577,28,4
59,0.0931949540730539,31,4
60,0.0743811837714032,36,4
61,0.0958940241505936,36,4
62,0.101793883183727,42,4
63,0.106151243706178,32,4
64,0.0987552720477241,29,4
65,0.10338497610128,44,4
66,0.108532252618914,33,3
67,0.0989128716649599,32,3
68,0.125657214140453,28,3
69,0.151841206899111,31,3
70,0.0540672212702757,36,2
71,0.062520356981334,31,2
72,0.117783035656383,32,2
73,0.121360857004267,31,2
74,0.060624621816435,32,2
75,0.159064694629687,29,2
76,0.0779615414697119,37,2
77,0.141078598259905,33,2
78,NaN,33,1
79,NaN,32,1
80,NaN,34,1
81,NaN,34,1
82,NaN,37,1
83,NaN,34,1
