Cell_lable,NumberOfDivision
1,NaN
2,418
3,310
4,41
5,89
6,13
7,125
8,49
9,NaN
10,48
11,152
12,NaN
13,53
14,NaN
15,NaN
16,NaN
17,NaN
18,1
19,NaN
20,89
21,NaN
22,NaN
23,NaN
24,NaN
25,1
26,NaN
27,NaN
28,NaN
29,NaN
30,NaN
31,14
32,4
33,NaN
34,NaN
35,NaN
36,NaN
37,NaN
38,NaN
39,NaN
40,NaN
41,NaN
42,NaN
43,NaN
44,NaN
45,NaN
46,13
47,9
48,NaN
49,NaN
50,12
51,3
52,NaN
53,45
54,19
55,NaN
56,NaN
57,4
58,NaN
59,4
60,NaN
61,NaN
62,NaN
63,5
64,11
65,NaN
66,NaN
67,NaN
68,NaN
69,NaN
70,8
71,NaN
72,11
73,NaN
74,NaN
75,NaN
76,NaN
77,3
78,NaN
79,15
80,NaN
81,2
82,30
83,NaN
84,NaN
85,43
86,NaN
87,22
88,7
89,NaN
90,NaN
91,NaN
92,NaN
93,NaN
94,NaN
95,NaN
96,NaN
97,NaN
98,32
99,NaN
100,NaN
101,18
102,1
103,NaN
104,4
105,NaN
106,NaN
107,8
108,NaN
109,10
110,NaN
111,43
112,NaN
113,7
114,NaN
115,7
116,9
117,NaN
118,1
119,NaN
120,NaN
121,NaN
122,NaN
123,NaN
124,NaN
125,NaN
126,NaN
127,NaN
128,NaN
129,NaN
130,NaN
131,1
132,NaN
133,NaN
134,13
135,NaN
136,8
137,3
138,NaN
139,NaN
140,3
141,NaN
142,1
143,12
144,NaN
145,6
146,NaN
147,NaN
148,NaN
149,NaN
150,NaN
151,NaN
152,7
153,NaN
154,NaN
155,NaN
156,NaN
157,NaN
158,NaN
159,4
160,NaN
161,NaN
162,NaN
163,6
164,NaN
165,6
166,NaN
167,8
168,NaN
169,NaN
170,NaN
171,5
172,NaN
173,NaN
174,1
175,NaN
176,NaN
177,3
178,1
179,3
180,NaN
181,4
182,NaN
183,27
184,NaN
185,NaN
186,NaN
187,NaN
188,NaN
189,2
190,14
191,NaN
192,NaN
193,NaN
194,NaN
195,6
196,NaN
197,NaN
198,NaN
199,NaN
200,NaN
201,NaN
202,NaN
203,3
204,2
205,NaN
206,NaN
207,2
208,NaN
209,NaN
210,NaN
211,NaN
212,NaN
213,NaN
214,9
215,NaN
216,3
217,NaN
218,NaN
219,3
220,NaN
221,NaN
222,2
223,NaN
224,NaN
225,1
226,6
227,NaN
228,NaN
229,4
230,NaN
231,NaN
232,13
233,NaN
234,1
235,NaN
236,NaN
237,NaN
238,NaN
239,NaN
240,NaN
241,2
242,NaN
243,NaN
244,NaN
245,NaN
246,1
247,NaN
248,NaN
249,NaN
250,NaN
251,NaN
252,NaN
253,NaN
254,NaN
255,NaN
256,16
257,5
258,1
259,NaN
260,1
261,NaN
262,NaN
263,NaN
264,NaN
265,1
266,NaN
267,1
268,NaN
269,4
270,NaN
271,1
272,1
273,7
274,NaN
275,NaN
276,NaN
277,2
278,NaN
279,NaN
280,NaN
281,NaN
282,7
283,NaN
284,6
285,NaN
286,21
287,NaN
288,NaN
289,NaN
290,NaN
291,5
292,12
293,NaN
294,NaN
295,NaN
296,NaN
297,NaN
298,NaN
299,NaN
300,7
301,NaN
302,NaN
303,NaN
304,NaN
305,NaN
306,17
307,NaN
308,NaN
309,3
310,NaN
311,2
312,NaN
313,NaN
314,1
315,NaN
316,NaN
317,1
318,NaN
319,NaN
320,NaN
321,NaN
322,NaN
323,NaN
324,NaN
325,NaN
326,NaN
327,NaN
328,NaN
329,NaN
330,NaN
331,NaN
332,NaN
333,NaN
334,NaN
335,18
336,NaN
337,NaN
338,NaN
339,NaN
340,NaN
341,NaN
342,2
343,7
344,NaN
345,NaN
346,NaN
347,5
348,NaN
349,NaN
350,NaN
351,NaN
352,2
353,NaN
354,4
355,NaN
356,NaN
357,8
358,NaN
359,NaN
360,NaN
361,NaN
362,3
363,19
364,NaN
365,NaN
366,5
367,8
368,NaN
369,8
370,1
371,1
372,2
373,NaN
374,NaN
375,NaN
376,NaN
377,3
378,NaN
379,NaN
380,NaN
381,NaN
382,NaN
383,2
384,NaN
385,2
386,NaN
387,NaN
388,NaN
389,1
390,NaN
391,NaN
392,NaN
393,NaN
394,NaN
395,NaN
396,NaN
397,NaN
398,NaN
399,2
400,NaN
401,1
402,16
403,NaN
404,NaN
405,NaN
406,NaN
407,NaN
408,NaN
409,NaN
410,NaN
411,NaN
412,NaN
413,NaN
414,NaN
415,NaN
416,NaN
417,NaN
418,NaN
419,7
420,12
421,NaN
422,NaN
423,6
424,NaN
425,1
426,NaN
427,NaN
428,1
429,NaN
430,NaN
431,NaN
432,NaN
433,NaN
434,NaN
435,NaN
436,NaN
437,1
438,NaN
439,1
440,1
441,NaN
442,NaN
443,NaN
444,NaN
445,2
446,NaN
447,NaN
448,NaN
449,NaN
450,1
451,NaN
452,NaN
453,NaN
454,NaN
455,NaN
456,NaN
457,1
458,5
459,NaN
460,2
461,NaN
462,NaN
463,NaN
464,NaN
465,NaN
466,NaN
467,2
468,NaN
469,7
470,NaN
471,NaN
472,NaN
473,NaN
474,3
475,NaN
476,3
477,NaN
478,NaN
479,NaN
480,8
481,NaN
482,NaN
483,1
484,NaN
485,NaN
486,1
487,NaN
488,1
489,NaN
490,NaN
491,10
492,NaN
493,NaN
494,NaN
495,3
496,NaN
497,1
498,NaN
499,NaN
500,NaN
501,6
502,NaN
503,10
504,NaN
505,1
506,NaN
507,NaN
508,1
509,NaN
510,NaN
511,3
512,NaN
513,NaN
514,9
515,1
516,NaN
517,NaN
518,NaN
519,NaN
520,NaN
521,1
522,NaN
523,NaN
524,NaN
525,NaN
526,NaN
527,3
528,NaN
529,NaN
530,NaN
531,NaN
532,14
533,NaN
534,NaN
535,NaN
536,NaN
537,1
538,1
539,NaN
540,NaN
541,14
542,NaN
543,NaN
544,NaN
545,NaN
546,3
547,4
548,NaN
549,NaN
550,NaN
551,NaN
552,NaN
553,NaN
554,6
555,NaN
556,5
557,NaN
558,NaN
559,NaN
560,NaN
561,2
562,NaN
563,1
564,NaN
565,NaN
566,NaN
567,NaN
568,NaN
569,2
570,1
571,NaN
572,NaN
573,NaN
574,NaN
575,3
576,NaN
577,NaN
578,NaN
579,NaN
580,NaN
581,NaN
582,NaN
583,NaN
584,NaN
585,NaN
586,NaN
587,NaN
588,NaN
589,7
590,NaN
591,3
592,NaN
593,NaN
594,NaN
595,NaN
596,6
597,NaN
598,NaN
599,NaN
600,NaN
601,NaN
602,6
603,NaN
604,1
605,2
606,1
607,NaN
608,NaN
609,7
610,NaN
611,NaN
612,NaN
613,NaN
614,NaN
615,NaN
616,NaN
617,NaN
618,2
619,2
620,17
621,1
622,8
623,NaN
624,NaN
625,4
626,6
627,NaN
628,13
629,NaN
630,NaN
631,NaN
632,NaN
633,NaN
634,NaN
635,1
636,NaN
637,NaN
638,NaN
639,NaN
640,NaN
641,NaN
642,NaN
643,NaN
644,NaN
645,1
646,NaN
647,NaN
648,1
649,NaN
650,NaN
651,2
652,NaN
653,11
654,7
655,NaN
656,1
657,1
658,NaN
659,NaN
660,NaN
661,NaN
662,1
663,NaN
664,NaN
665,NaN
666,NaN
667,1
668,NaN
669,NaN
670,NaN
671,6
672,NaN
673,2
674,NaN
675,NaN
676,NaN
677,NaN
678,NaN
679,NaN
680,NaN
681,NaN
682,NaN
683,NaN
684,NaN
685,1
686,NaN
687,NaN
688,NaN
689,4
690,6
691,NaN
692,1
693,NaN
694,NaN
695,NaN
696,2
697,NaN
698,NaN
699,NaN
700,1
701,NaN
702,NaN
703,3
704,NaN
705,NaN
706,NaN
707,NaN
708,1
709,1
710,NaN
711,NaN
712,2
713,NaN
714,4
715,NaN
716,1
717,1
718,NaN
719,NaN
720,NaN
721,NaN
722,NaN
723,NaN
724,NaN
725,NaN
726,NaN
727,NaN
728,2
729,NaN
730,NaN
731,NaN
732,NaN
733,NaN
734,NaN
735,NaN
736,4
737,NaN
738,NaN
739,6
740,1
741,NaN
742,NaN
743,3
744,NaN
745,NaN
746,1
747,NaN
748,NaN
749,NaN
750,6
751,NaN
752,NaN
753,3
754,NaN
755,NaN
756,NaN
757,NaN
758,NaN
759,NaN
760,NaN
761,4
762,NaN
763,NaN
764,NaN
765,NaN
766,NaN
767,NaN
768,1
769,NaN
770,NaN
771,NaN
772,NaN
773,NaN
774,3
775,NaN
776,NaN
777,3
778,NaN
779,NaN
780,NaN
781,NaN
782,2
783,NaN
784,NaN
785,NaN
786,NaN
787,3
788,NaN
789,NaN
790,NaN
791,NaN
792,NaN
793,NaN
794,NaN
795,NaN
796,NaN
797,NaN
798,1
799,NaN
800,NaN
801,NaN
802,3
803,NaN
804,NaN
805,NaN
806,NaN
807,2
808,NaN
809,2
810,NaN
811,NaN
812,NaN
813,NaN
814,NaN
815,NaN
816,NaN
817,NaN
818,NaN
819,NaN
820,1
821,NaN
822,NaN
823,NaN
824,5
825,NaN
826,NaN
827,NaN
828,NaN
829,NaN
830,1
831,NaN
832,NaN
833,NaN
834,NaN
835,NaN
836,NaN
837,NaN
838,NaN
839,NaN
840,NaN
841,NaN
842,6
843,NaN
844,NaN
845,NaN
846,NaN
847,NaN
848,NaN
849,7
850,NaN
851,NaN
852,NaN
853,1
854,NaN
855,NaN
856,NaN
857,1
858,NaN
859,NaN
860,2
861,NaN
862,NaN
863,NaN
864,NaN
865,NaN
866,1
867,NaN
868,NaN
869,NaN
870,NaN
871,1
872,NaN
873,NaN
874,NaN
875,NaN
876,NaN
877,2
878,NaN
879,NaN
880,NaN
881,NaN
882,NaN
883,1
884,NaN
885,9
886,2
887,NaN
888,NaN
889,2
890,NaN
891,NaN
892,NaN
893,NaN
894,NaN
895,NaN
896,2
897,NaN
898,NaN
899,1
900,NaN
901,2
902,3
903,NaN
904,NaN
905,NaN
906,NaN
907,1
908,NaN
909,NaN
910,NaN
911,NaN
912,NaN
913,NaN
914,NaN
915,5
916,NaN
917,NaN
918,NaN
919,NaN
920,NaN
921,NaN
922,NaN
923,NaN
924,2
925,NaN
926,NaN
927,NaN
928,2
929,NaN
930,NaN
931,NaN
932,NaN
933,NaN
934,NaN
935,NaN
936,NaN
937,NaN
938,NaN
939,NaN
940,NaN
941,NaN
942,NaN
943,NaN
944,NaN
945,NaN
946,NaN
947,5
948,2
949,1
950,6
951,NaN
952,3
953,NaN
954,NaN
955,NaN
956,1
957,NaN
958,3
959,NaN
960,NaN
961,NaN
962,NaN
963,NaN
964,1
965,NaN
966,NaN
967,1
968,1
969,3
970,3
971,NaN
972,1
973,NaN
974,NaN
975,NaN
976,NaN
977,NaN
978,NaN
979,1
980,NaN
981,1
982,NaN
983,2
984,NaN
985,NaN
986,1
987,NaN
988,9
989,NaN
990,7
991,1
992,NaN
993,NaN
994,3
995,NaN
996,NaN
997,NaN
998,NaN
999,1
1000,1
1001,NaN
1002,NaN
1003,4
1004,NaN
1005,NaN
1006,NaN
1007,NaN
1008,NaN
1009,NaN
1010,NaN
1011,NaN
1012,6
1013,NaN
1014,3
1015,1
1016,NaN
1017,3
1018,2
1019,NaN
1020,NaN
1021,1
1022,3
1023,NaN
1024,NaN
1025,NaN
1026,3
1027,NaN
1028,NaN
1029,NaN
1030,NaN
1031,2
1032,NaN
1033,NaN
1034,NaN
1035,NaN
1036,3
1037,NaN
1038,1
1039,NaN
1040,NaN
1041,NaN
1042,NaN
1043,3
1044,NaN
1045,2
1046,NaN
1047,NaN
1048,NaN
1049,NaN
1050,NaN
1051,1
1052,1
1053,NaN
1054,NaN
1055,NaN
1056,2
1057,NaN
1058,NaN
1059,NaN
1060,NaN
1061,NaN
1062,NaN
1063,NaN
1064,4
1065,2
1066,NaN
1067,2
1068,NaN
1069,NaN
1070,NaN
1071,NaN
1072,NaN
1073,NaN
1074,NaN
1075,NaN
1076,NaN
1077,NaN
1078,NaN
1079,NaN
1080,NaN
1081,13
1082,2
1083,NaN
1084,NaN
1085,NaN
1086,NaN
1087,1
1088,NaN
1089,NaN
1090,4
1091,NaN
1092,NaN
1093,NaN
1094,NaN
1095,2
1096,NaN
1097,NaN
1098,NaN
1099,NaN
1100,NaN
1101,NaN
1102,NaN
1103,NaN
1104,8
1105,NaN
1106,NaN
1107,NaN
1108,NaN
1109,6
1110,2
1111,NaN
1112,2
1113,NaN
1114,NaN
1115,NaN
1116,NaN
1117,NaN
1118,NaN
1119,NaN
1120,NaN
1121,7
1122,NaN
1123,NaN
1124,NaN
1125,2
1126,NaN
1127,NaN
1128,NaN
1129,NaN
1130,1
1131,1
1132,1
1133,5
1134,NaN
1135,1
1136,1
1137,NaN
1138,1
1139,NaN
1140,NaN
1141,NaN
1142,4
1143,NaN
1144,NaN
1145,NaN
1146,NaN
1147,NaN
1148,NaN
1149,NaN
1150,NaN
1151,NaN
1152,1
1153,3
1154,2
1155,NaN
1156,NaN
1157,NaN
1158,NaN
1159,NaN
1160,NaN
1161,NaN
1162,NaN
1163,7
1164,NaN
1165,NaN
1166,NaN
1167,2
1168,NaN
1169,3
1170,NaN
1171,NaN
1172,2
1173,10
1174,1
1175,NaN
1176,NaN
1177,NaN
1178,NaN
1179,NaN
1180,NaN
1181,NaN
1182,NaN
1183,NaN
1184,NaN
1185,1
1186,NaN
1187,NaN
1188,NaN
1189,NaN
1190,2
1191,NaN
1192,NaN
1193,NaN
1194,NaN
1195,NaN
1196,NaN
1197,NaN
1198,3
1199,3
1200,NaN
1201,NaN
1202,NaN
1203,NaN
1204,NaN
1205,NaN
1206,1
1207,NaN
1208,NaN
1209,NaN
1210,NaN
1211,2
1212,NaN
1213,NaN
1214,NaN
1215,NaN
1216,NaN
1217,NaN
1218,1
1219,NaN
1220,NaN
1221,NaN
1222,1
1223,11
1224,5
1225,NaN
1226,NaN
1227,NaN
1228,6
1229,NaN
1230,NaN
1231,NaN
1232,3
1233,NaN
1234,2
1235,NaN
1236,1
1237,NaN
1238,NaN
1239,1
1240,NaN
1241,NaN
1242,NaN
1243,9
1244,NaN
1245,4
1246,4
1247,NaN
1248,NaN
1249,NaN
1250,1
1251,NaN
1252,NaN
1253,1
1254,NaN
1255,NaN
1256,NaN
1257,NaN
1258,NaN
1259,NaN
1260,NaN
1261,NaN
1262,NaN
1263,6
1264,NaN
1265,NaN
1266,NaN
1267,NaN
1268,NaN
1269,NaN
1270,2
1271,NaN
1272,NaN
1273,NaN
1274,NaN
1275,1
1276,NaN
1277,NaN
